diaglocalcode,diagnosis
DC100,Fracture of T9 and T10 level
DC10001,Follow-up examination after chemotherapy for other conditions
DC10003,Spondylopathy_ unspecified_ cervical region
DC10005,Injuries of nerves and spinal cord involving other multiple body regions
DC10007,Attention to tracheostomy
DC10009,Bipolar affective disorder_ currently in remission
DC1001,Superficial injury of scalp_ other injury
DC10014,Closed fracture of neck of femur
DC10015,Other dorsalgia_ sacral and sacrococcygeal region
DC10016,Oral mucositis (ulcerative)
DC10017,Other hair color and hair shaft abnormalities
DC10018,Other spondylosis with radiculopathy_ multiple sites in spine
DC1002,Congenital herpesviral [herpes simplex] infection
DC10021,Disorder of ligament_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC10026,Malignant neoplasm of female genital organ_ unspecified
DC10027,Multi-Drug resistant tuberculosis
DC10028,Intestinal obstruction of newborn_ unspecified
DC10029,Delayed union of fracture_ upper arm (humerus_ elbow joints) (humerus_ elbow joints)
DC10030,Other multiple_ born in hospital
DC10031,Otalgia
DC10032,Other chest pain
DC10033,Infarction of spleen
DC10034,Other and unspecified superficial injuries of throat
DC10036,Glomus tumor_ any site
DC10039,Injury of pancreas_ without open wound into cavity
DC10041,Injury of intrinsic muscle and tendon at ankle and foot level
DC10042,Malignant neoplasm of conjunctiva
DC10043,Medullary Carcinoma NOS
DC10044,Enterovirus infection_ unspecified site
DC10046,Agranulocytosis
DC10047,Foreign body in other and multiple parts of respiratory tract
DC10049,Recurrent and persistent hematuria with diffuse membranous glomerulonephritis
DC1005,Other acquired hemolytic anemias
DC10051,Other female urinary-genital tract fistulae
DC10052,Aortic valve disorder_ unspecified
DC10053,Spotted fever_ unspecified
DC10054,Lichen simplex chronicus
DC10056,Other specified diabetes mellitus_ with unspecified complications
DC10057,Drug-induced headache_ NEC
DC10058,Unspecified as acute or chronic gastric ulcer without hemorrhage or perforation
DC10060,Polyp of vagina
DC10061,Staphylococcal meningitis
DC10063,Other spondylosis with radiculopathy_ lumbosacral region
DC10064,Benign neoplasm of long bones of lower limb
DC10066,Other specified inflammatory liver diseases
DC10067,Typhus fever due to Rickettsia tsutsugamushi
DC10068,Pulmonary valve insufficiency
DC1007,Diseases of hard tissues of teeth_ unspecified
DC10071,Disorders of glucosaminoglycan metabolism_ unspecified
DC10072,Aneurysm and dissection of artery of lower extremity
DC10073,Teratoma_ Benign
DC10075,Injury of carotid artery
DC10076,Malignant neoplasm of ileum
DC10077,Closed fracture of upper end of ulna
DC10079,Superficial injuries involving multiple regions of lower limb (s)
DC1008,Invasive pulmonary aspergillosis
DC10080,Valgus deformity NEC_ site unspecified
DC10081,Occlusion and stenosis of basilar artery
DC10083,Ewing's sarcoma_ metastatics
DC10084,Haemorrhoids in the puerperium
DC10085,Secondary and unspecified malignant neoplasm of  intrathoracic lymph nodes
DC10086,Other specified acute viral hepatitis
DC10088,Spinal instabilities_ lumbosacral region
DC10090,Disorders of plasma-protein metabolism_ NEC
DC10091,Secondary malignant neoplasm of adrenal gland
DC10093,Atypical facial pain
DC10095,Other acquired deformity of head
DC10097,Fibromyalgia_ multiple sites
DC10098,Histiocytic and mast cell tumors of uncertain and unknown behavior
DC10099,Panic disorder [episodic paroxysmal anxiety]
DC101,Alcoholic fibrosis and sclerosis of liver
DC1010,Contact with hornets_ wasps and bees_ unspecified place
DC10100,Reactive perforating collagenosis
DC10102,Chronic respiratory failure
DC10103,Centrilobular emphysema
DC10104,Injury of spinal cord_ level unspecified
DC10105,Septicemia due to other Gram negative organisms
DC10107,Drug-induced folate deficiency anemia
DC10110,Dissociative anesthesia and sensory loss
DC10111,Pemphigus_unspecified
DC10115,Acute miliary tuberculosis_ unspecified
DC10116,Other drugs and medicaments causing adverse effects in therapeutic use
DC10118,Tuberculosis of intrathoracic lymph nodes_ without mention of bacteriological or histological confirmation
DC10119,Poisoning by other and unspecified antidepressants
DC1012,Other otitis externa
DC10120,Drug-induced myopathy
DC10121,Candidiasis of vulva and vagina
DC10123,Fracture of lower limb_ level unspecified_ open
DC10124,Contact with and exposure to tuberculosis
DC10126,Meningococcal infection_ unspecified
DC10128,Mechanical complication of intraocular lens
DC1013,Carcinoid Tumor NOS_ of Appendix NOS (D37.3)
DC10131,Other specified soft tissue disorders_ pelvic region and thigh (buttock_ femur_ pelvis_ hip(joint) _ sacroiliac joint)
DC10133,Sicca syndrome(Sjogren)
DC10134,Sequelae of open wound of lower limb
DC10135,Spontaneous rupture of flexor tendons_ other(head_ neck_ ribs_ skull_ trunk_ vertebral column)
DC10136,Unspecified dementia
DC10138,Sepsis due to unspecified staphylococcus
DC1014,Periapical abscess without sinus
DC10144,Langerhans cell histiocytosis_ unifocal
DC10145,Mechanical complication of internal fixation device of bones of limb
DC10147,Arthritis and polyarthritis due to other specified bacterial agents_ site unspecified
DC10148,Other disorders of bilirubin metabolism
DC10149,Unspecified jaundice
DC1015,Supervision of pregnancy elderly primigravida
DC10150,Special screening examination for congenital malformations_ deformations and chromosomal abnormalities
DC10151,Congenital iodine-deficiency syndrome_ neurological type
DC10152,Pilocytic Astrocytoma
DC10153,Mucoepidermoid Tumor
DC10154,Sprain and strain involving (fibular_ tibial) collateral ligament of knee
DC10155,Kyphoscoliotic heart disease
DC10156,Arrested dental caries
DC10158,Spinal stenosis_ thoracic region
DC10159,Other visual disturbances
DC1016,Prolactinoma (D35.2)
DC10160,Disturbance of cerebral status of newborn_ unspecified
DC10161,Injury of unspecified muscle and tendon at wrist and hand level_ Laceration
DC10162,Other acute conjunctivitis
DC10163,Nonspecific mesenteric lymphadenitis
DC10165,Acute nonspecific idiopathic pericarditis
DC10166,Acute ethmoidal sinusitis
DC10167,Malignant neoplasm of long bones of lower limb
DC10168,Deaf mutism_ NEC
DC10169,Encephalitis_ myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere
DC10170,Other recurrent vertebral subluxation_ site unspecified
DC10171,Disease of spinal cord_ unspecified
DC10172,Polyuria
DC10173,Signet Ring Cell Carcinoma
DC10174,Special screening examination for neoplasm of stomach
DC10176,Metastatic Carcinoid
DC10177,Other early skin lesions of yaws
DC10179,Intraventricular (nontraumatic) hemorrhage_ grade 3_ of fetus and newborn
DC1018,Myalgia_ forearm (radius_ ulna_ wrist joints)
DC10181,Injury of extensor muscle and tendon of thumb at wrist and hand level
DC10182,Observation for suspected myocardial infarction
DC10183,Conjunctival hemorrhage
DC10184,Dissociative fugue
DC10185,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere
DC10186,Acute pulmonary manifestations due to radiation
DC10187,Unspecified viral hepatitis without hepatic coma
DC10188,Open fracture of other finger
DC1019,Abnormal level of blood mineral
DC10190,Exanthema subitum[sixth disease]
DC10191,Other idiopathic scoliosis_ thoracic region
DC10192,Scoliosis_ unspecified_ site unspecified
DC10196,Nodules of vocal cords
DC10197,Frostbite with tissue necrosis of ankle and foot
DC10199,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere
DC102,Intraventricular (nontraumatic) hemorrhage_ grade 2_ of fetus and newborn
DC1020,Polyarteritis nodosa
DC10201,Candidiasis of other sites
DC10202,Systemic atrophy primarily affecting central nervous system in myxoedema
DC10203,Zoster meningitis
DC10205,Superficial injury of other parts of head_ other injury
DC10207,Spontaneous ecchymoses
DC10208,Low back pain_ multiple sites in spine
DC10209,Squamous Cell Carcinoma_ Microinvasive
DC1021,Malignant neoplasm of lower third of esophagus
DC10212,Viral conjunctivitis_ unspecified
DC10214,Diseases of the skin and subcutaneous tissue complicating pregnancy_ childbirth and the puerperium(condition in L00-L99)
DC1022,Injury of other muscles and tendons at lower leg level
DC10220,Valgus deformity NEC_ lower leg(fibula_ tibia_ knee joint)
DC10221,Complex partial status epilepticus
DC10222,Fracture of skull and facial bones_part unspecified_ closed
DC10223,Thymoma_ Benign (D15.0)
DC10224,Other injuries of lung_ without open wound into thoracic cavity
DC10225,Rectal abscess
DC10226,Pedestrian injured in collision with two- or three-wheeled motor vehicle in unspecified whether traffic or nontraffic accident
DC10227,Corneal scars and opacity_ unspecified
DC1023,Unspecified multiple injuries
DC10231,Dietary folate deficiency anemia
DC10234,Cord compression_ unspecified
DC10235,Injury of ovary_ without open wound into cavity
DC10236,Other retinal artery occlusions
DC10237,Anaplastic ganglioglioma
DC10238,Other internal derangement of knee_ Posterior cruciate ligament or Posterior horn of medial meniscus
DC10239,Intrahepatic bile duct carcinoma
DC1024,Emotionally unstable personality disorder
DC10242,Urethral abscess
DC10243,Poisoning by digestants
DC10244,Cardiomyopathy_ unspecified
DC10245,Trichofolliculoma
DC10247,Other fibroblastic disorders_ upper arm (humerus_ elbow joints)
DC10249,Langerhans' cell histiocytosis_ NEC
DC1025,Benign neoplasm of short bones of upper limb
DC10250,Acute appendicitis_ unspecified
