personid,sex,birthday,ethnicity
349300,1,1973-02-20 0:00,0
104126,1,1961-04-11 0:00,1
101540,1,1956-04-01 0:00,1
216726,1,1994-03-25 0:00,1
323674,0,1952-10-04 0:00,1
204462,0,1950-08-01 0:00,1
97295,1,1949-08-10 0:00,1
30645,1,1933-12-13 0:00,1
103261,1,1946-01-11 0:00,1
222867,0,1952-01-06 0:00,1
108097,1,1954-02-09 0:00,1
222868,0,1962-01-27 0:00,1
320481,0,1966-12-28 0:00,1
173440,0,1963-05-07 0:00,1
115984,1,1949-01-28 0:00,1
330702,1,1935-10-28 0:00,1
95958,1,1942-11-01 0:00,1
208347,0,1976-12-24 0:00,1
256469,0,1950-12-25 0:00,1
181037,1,1969-06-19 0:00,1
239365,0,1990-10-20 0:00,1
200964,1,1973-08-19 0:00,1
11348,1,1940-08-31 0:00,1
265938,1,1961-09-02 0:00,1
3401,1,1953-12-15 0:00,1
98401,1,1926-03-25 0:00,1
125126,1,1948-03-12 0:00,1
43487,1,1969-11-04 0:00,1
201338,1,1944-12-16 0:00,1
197391,0,1951-10-31 0:00,1
204528,0,1968-06-14 0:00,1
51572,0,1991-07-07 0:00,1
206885,0,1935-10-01 0:00,1
83464,1,1935-03-29 0:00,1
205284,1,1958-05-03 0:00,1
332039,1,1965-10-29 0:00,1
212048,0,1973-10-22 0:00,1
297300,0,1942-03-28 0:00,1
303432,0,1945-05-31 0:00,1
26867,1,1939-04-08 0:00,1
310617,1,1949-04-28 0:00,1
116922,1,1937-03-01 0:00,1
69865,0,1959-08-26 0:00,1
195310,1,1949-08-12 0:00,1
217512,0,1952-02-13 0:00,1
370302,0,1972-02-03 0:00,1
327492,0,1988-05-24 0:00,1
196672,1,1943-10-10 0:00,1
283088,0,1968-04-26 0:00,1
274118,0,1967-06-16 0:00,1
104936,0,1952-02-09 0:00,1
135242,0,1956-01-09 0:00,1
34711,1,1984-09-03 0:00,1
97012,0,1935-07-05 0:00,1
291554,1,1961-05-31 0:00,1
44594,1,1971-10-31 0:00,0
65900,0,1930-02-23 0:00,1
93854,0,1965-06-22 0:00,1
265082,1,1973-07-15 0:00,1
71124,0,1998-07-19 0:00,1
14827,1,1959-07-22 0:00,1
171789,0,1952-07-27 0:00,1
47027,1,1959-12-22 0:00,1
285365,1,1959-06-18 0:00,1
100699,0,1971-07-25 0:00,1
119718,0,1924-06-25 0:00,1
213415,0,1958-07-09 0:00,1
186149,0,1942-07-31 0:00,1
80550,1,1997-01-30 0:00,1
350364,0,1922-07-16 0:00,1
132610,0,1970-09-18 0:00,1
153939,0,1974-01-20 0:00,1
79508,0,1986-11-07 0:00,1
11948,0,1970-10-03 0:00,1
52104,0,1981-12-09 0:00,1
353296,0,1965-06-23 0:00,1
113641,0,1947-08-22 0:00,1
